Song,Artist,ID
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF
One Dance,Drake featuring Wizkid and Kyla,1zi7xx7UVEFkmKfv06H8x0
Work,Rihanna featuring Drake,32lmL4vQAAotg6MrJnhlQZ
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn
Panda,Desiigner,275a9yzwGB6ncAW4SxY7q3
Hello,Adele,0ENSn4fwAbCGeFGVUbXEU3
Don't Let Me Down,The Chainsmokers featuring Daya,1i1fxkWeaMmKEB4T7zqbzK
Can't Stop the Feeling!,Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI
Closer,The Chainsmokers featuring Halsey,7BKLCZ1jbUBVqRi2FVlTVw
Cheap Thrills,Sia featuring Sean Paul,6b3b7lILUJqXcp6w9wNQSm
7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk
Needed Me,Rihanna,1Tt4sE4pXi57mTD1GCzsqm
My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1
I Took a Pill in Ibiza,Mike Posner,1MtUq6Wp1eQ8PC6BbPCj8P
Work from Home,Fifth Harmony featuring Ty Dolla $ign,4tCtwWceOPWzenK2HAIJSb
This Is What You Came For,Calvin Harris featuring Rihanna,0azC730Exh71aQlOt9Zj3y
Cake by the Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC
"Me, Myself & I",G-Eazy and Bebe Rexha,40YcuQysJ0KlGQTeGUosTC
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr
Pillowtalk,Zayn,0PDUDa38GO8lMxLCRc4lL1
Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7
Cold Water,Major Lazer featuring Justin Bieber and MØ,7zsXy7vlHdItvUSH8EwQss
Send My Love (To Your New Lover),Adele,4BHzQ9C00ceJxfG16AlNWb
Roses,The Chainsmokers featuring Rozes,3vv9phIu6Y1vX3jcqaGz5Z
Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd
Too Good,Drake featuring Rihanna,3BtuIIrQlkujKPuWF2B85z
Low Life,Future featuring The Weeknd,7EiZI6JVHllARrX9PUvAdX
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB
Just Like Fire,Pink,7K5dzhGda2vRTaAWYI3hrb
Broccoli,D.R.A.M. featuring Lil Yachty,0qy5D3OJre7SPJNMOL9I71
Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC
Dangerous Woman,Ariana Grande,7l94dyN2hX9c6wWcZQuOGJ
Jumpman,Drake and Future,27GmP9AWRs744SzKcpJsTZ
"I Hate U, I Love U",Gnash featuring Olivia O'Brien,7vRriwrloYVaoAe3a9wJHe
Here,Alessia Cara,1wYZZtamWTQAoj8B812uKQ
Same Old Love,Selena Gomez,1BZG99C7Co1r6QUC3zaS59
Controlla,Drake,4CpKEkdGbOJV51cSvx7SoG
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2YlZnw2ikdb837oKMKjBkW
One Call Away,Charlie Puth,7soJgKhQTO8hLP2JPRkL5O
Let It Go,James Bay,13HVjjWUZFaWilh2QUJKsP
No,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc
Never Forget You,Zara Larsson and MNEK,6hmhG1b4LEyNuashVvuIAo
Let Me Love You,DJ Snake featuring Justin Bieber,0lYBSQXN6rCTvUZvg9S0lU
Don't Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ
H.O.L.Y.,Florida Georgia Line,0BCy325UZyR9z0t0uxwn2N
We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,37FXw5QGFN7uwwsLy8uAc0
Into You,Ariana Grande,2meEiZKWkiN28gITzFwQo5
Gold,Kiiara,6ZSO7kPn8IMJFymyticbJO
Exchange,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN
679,Fetty Wap featuring Remy Boyz,5NQbUaeTEOGdD6hHcre0dZ
Oui,Jeremih,0PJIbOdMs3bd5AT8liULMQ
Hands to Myself,Selena Gomez,1LoriJC05IrHIDwj3q0KC1
2 Phones,Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC
Starboy,The Weeknd featuring Daft Punk,7MXVkk9YMctZqd1Srtv4MB
For Free,DJ Khaled featuring Drake,4JDZl9nKIAhAhDjw753u4X
Never Be Like You,Flume featuring Kai,47zREtxQZ3cHHIZwUQnuuN
In the Night,The Weeknd,25KybV9BOUlvcnv7nN3Pyo
Me Too,Meghan Trainor,3KwwE4sgCzMaKWq6QBebmX
Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH
Die a Happy Man,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n
White Iverson,Post Malone,6eT7xZZlB2mwyzJ2sUKG6w
Close,Nick Jonas featuring Tove Lo,3lSDIJ2abCrOdDJ6pshUap
Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I
Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla $ign featuring X Ambassadors",4dASQiO1Eoo3RJvt74FtXB
Down in the DM,Yo Gotti featuring Nicki Minaj,1LxKKYsJNPeBdOwdudsJzv
Luv,Tory Lanez,16Ah4QqH4mgYVXqfC4mdSd
Sorry,Beyoncé,4k8Kq3yLE7I7umYfN08YCU
Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy
Say It,Tory Lanez,2Gyc6e2cLxA5hoX1NOvYnU
Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq
Lost Boy,Ruth B,4h0zU3O9R5xzuTmNO7dNDU
Side to Side,Ariana Grande featuring Nicki Minaj,1pKeFVVUOPjFsOABub0OaV
"Sit Still, Look Pretty",Daya,0EGuSSpuu9wmHCtvb4PdLO
Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw
Middle,DJ Snake featuring Bipolar Sunshine,0g5EKLgdKvNlln7TNqBByK
On My Mind,Ellie Goulding,4nS1sut0R2mgmFitKIShVe
Pop Style,Drake featuring The Throne,23NWj2izXAJ4yL6Nah73wf
When We Were Young,Adele,7IWkJwX9C0J7tHurTD7ViL
Hide Away,Daya,0uyZ5ckiIUbFZd3P6RWmrj
Lean On,Major Lazer and DJ Snake featuring MØ,5wldXGLEOoRXxMWJ8rIUWE
I Know What You Did Last Summer,Shawn Mendes and Camila Cabello,2GyA33q5rti5IxkMQemRDH
All the Way Up,"Fat Joe, Remy Ma and Jay Z featuring French Montana and Infared",61QSuw5VlC0LTS8WMO356g
Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr
Back to Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba
No Limit,Usher featuring Young Thug,4DRDMf5vftalExCy0fHbHl
Cut It,O.T. Genasis featuring Young Dolph,376KnY4TrgBITxjlnbnmIy
Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o
All In My Head (Flex),Fifth Harmony featuring Fetty Wap,7nD9nN3jord9wWcfW3Gkcm
Starving,Hailee Steinfeld and Grey featuring Zedd,4Ce37cRWvM1vIGGynKcs22
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M
Humble and Kind,Tim McGraw,3Rkk851fZjIsglV2jbBPDd
Wicked,Future,6BbINUfGabVyiNFJpQXn3x
Tiimmy Turner,Desiigner,3NJG6vMH1ZsectZkocMEm0
See You Again,Wiz Khalifa featuring Charlie Puth,2JzZzZUQj3Qff7wapcbKjc
Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk